id,userid,relation,landmark,geometry_type,geometry
5f383ba7d4cca3000418f46f,1f9485fd-fbe2-4863-8fcf-3bc195acfd2f,NA FRENTE DE,Localiza Hertz,Polygon,"{ ""type"": ""Polygon"",  ""coordinates"":[[[-35.869864829530165, -7.23379813197012],[-35.86963680264675, -7.233635819466916],[-35.86958851460085, -7.23368903668751],[-35.8698058108074, -7.233840705731791],[-35.869864829530165, -7.23379813197012]]]}"
5f383bb8d4cca3000418f470,1f9485fd-fbe2-4863-8fcf-3bc195acfd2f,À DIREITA DE,Café Poético,Polygon,"{ ""type"": ""Polygon"",  ""coordinates"":[[[-35.879145275482905, -7.223971468231424],[-35.87939744638926, -7.2241258014557825],[-35.879145275482905, -7.223971468231424]]]}"
5f383bd9d4cca3000418f471,1f9485fd-fbe2-4863-8fcf-3bc195acfd2f,À DIREITA DE,Maria Pitanga,Polygon,"{ ""type"": ""Polygon"",  ""coordinates"":[[[-35.87934108778584, -7.224011382001402],[-35.879193540978925, -7.223923571702808],[-35.87945644256215, -7.223867692413008],[-35.87934645312427, -7.2239927555758445],[-35.87934108778584, -7.224011382001402]]]}"
5f383bead4cca3000418f472,1f9485fd-fbe2-4863-8fcf-3bc195acfd2f,À DIREITA DE,Niscar,Polygon,"{ ""type"": ""Polygon"",  ""coordinates"":[[[-35.8698004275211, -7.233646462911539],[-35.869947974328014, -7.233468185181034],[-35.8698004275211, -7.233646462911539]]]}"
5f383bf2d4cca3000418f473,1f9485fd-fbe2-4863-8fcf-3bc195acfd2f,À DIREITA DE,Localiza Hertz,Polygon,"{ ""type"": ""Polygon"",  ""coordinates"":[[[-35.8698219068227, -7.233630497744516],[-35.86965558133128, -7.233824740571638],[-35.8698219068227, -7.233630497744516]]]}"
5f383c04d4cca3000418f474,1f9485fd-fbe2-4863-8fcf-3bc195acfd2f,AO LADO DE,Café Poético,MultiPolygon,"{ ""type"": ""MultiPolygon"",  ""coordinates"":[[[[-35.87918015018272, -7.223904945273638],[-35.879048699391106, -7.2238197958733865],[-35.87918015018272, -7.223904945273638]],[[-35.87933842766649, -7.223998077411804],[-35.8795154838348, -7.224133784207336],[-35.87933842766649, -7.223998077411804]]]]}"
5f383c1ad4cca3000418f475,1f9485fd-fbe2-4863-8fcf-3bc195acfd2f,AO LADO DE,Maria Pitanga,MultiPolygon,"{ ""type"": ""MultiPolygon"",  ""coordinates"":[[[[-35.87932499177054, -7.224003399247686],[-35.87920158898657, -7.223923571702808],[-35.87932499177054, -7.224003399247686]],[[-35.87947522124666, -7.224189663464249],[-35.87932767443975, -7.224099192282935],[-35.87947522124666, -7.224189663464249]]]]}"
5f383c34d4cca3000418f476,1f9485fd-fbe2-4863-8fcf-3bc195acfd2f,AO LADO DE,Niscar,MultiPolygon,"{ ""type"": ""MultiPolygon"",  ""coordinates"":[[[[-35.87000162771235, -7.233577280517014],[-35.86987822492838, -7.2337342713200945],[-35.87000162771235, -7.233577280517014]],[[-35.869856763574646, -7.233747575622921],[-35.8698004275211, -7.233824740571638],[-35.87014917451926, -7.233409646209403],[-35.869856763574646, -7.233747575622921]]]]}"
5f383c61d4cca3000418f478,1f9485fd-fbe2-4863-8fcf-3bc195acfd2f,ENTRE,Café Poético,Polygon,"{ ""type"": ""Polygon"",  ""coordinates"":[[[-35.87924735635426, -7.223870353331732],[-35.87915882827012, -7.223974129149537],[-35.87770750422391, -7.222928387126641],[-35.87776920561591, -7.2228618640153615],[-35.879255404361906, -7.223854387819173],[-35.87924735635426, -7.223870353331732]]]}"
5f383c89d4cca3000418f479,1f9485fd-fbe2-4863-8fcf-3bc195acfd2f,ENTRE,Maria Pitanga,Polygon,"{ ""type"": ""Polygon"",  ""coordinates"":[[[-35.88211979649904, -7.225142270685951],[-35.88205541243784, -7.225397718091159],[-35.87940493525183, -7.224163054295154],[-35.87959808743542, -7.223971468231424],[-35.88212516183748, -7.225131627040941],[-35.88211979649904, -7.225142270685951]]]}"
